date,overall,food_beverage,alcohol_tobacco,clothing_footwear,housing_utilities,furnishings,health,transport,communication,recreation_culture,education,hospitality,misc
2010-01-01,99.4,99.0,98.3,101.2,99.4,100.0,99.4,98.9,100.3,100.2,99.5,98.7,99.9
2010-02-01,99.4,99.0,98.3,100.1,99.6,99.9,99.4,99.0,100.3,100.2,99.6,98.9,99.6
2010-03-01,99.4,99.0,98.4,100.0,99.6,100.0,99.3,99.0,100.2,100.2,99.8,99.3,99.6
2010-04-01,99.4,99.1,98.4,100.5,99.6,100.0,99.7,99.0,99.7,100.1,99.9,99.5,99.5
2010-05-01,99.6,99.5,98.4,100.3,99.8,99.1,99.8,99.0,99.7,100.0,99.9,99.6,99.7
2010-06-01,99.7,100.0,98.5,99.5,99.8,99.9,100.0,99.1,99.7,100.0,99.9,99.8,99.9
2010-07-01,100.0,100.2,98.6,100.1,99.9,100.1,100.1,99.9,100.1,100.1,100.1,99.9,100.0
2010-08-01,100.3,100.5,98.6,99.2,100.3,100.0,100.2,100.8,100.0,99.9,100.2,100.2,99.8
2010-09-01,100.4,100.5,98.7,100.4,100.3,100.1,100.4,100.8,100.1,99.9,100.2,100.5,100.2
2010-10-01,100.6,100.6,104.6,100.2,100.3,100.1,100.5,100.8,100.0,99.8,100.2,100.9,100.5
2010-11-01,100.8,101.1,104.6,99.8,100.7,100.1,100.6,101.0,100.0,99.7,100.3,101.1,100.7
2010-12-01,101.2,101.4,104.6,98.8,100.8,100.0,100.8,102.9,100.0,99.7,100.4,101.6,100.8
2011-01-01,101.8,102.6,104.6,99.9,100.8,101.0,101.5,103.2,100.0,99.7,101.0,103.2,101.1
2011-02-01,102.3,103.7,104.6,100.1,101.1,101.1,102.1,103.5,100.0,100.5,101.6,104.2,101.0
2011-03-01,102.4,103.7,104.6,99.8,101.2,101.1,102.0,103.6,100.0,100.4,101.9,104.7,101.2
2011-04-01,102.6,104.0,104.6,99.8,101.2,101.2,102.2,104.2,99.9,101.9,102.1,105.1,101.3
2011-05-01,102.9,104.0,104.6,99.8,101.6,101.4,102.4,104.9,99.8,101.9,102.1,105.6,101.7
2011-06-01,103.2,104.7,104.7,99.8,101.7,101.6,102.5,104.8,99.7,101.9,102.2,105.9,101.9
2011-07-01,103.4,105.1,104.6,99.6,101.8,102.1,102.8,104.7,99.7,102.3,102.3,106.4,102.4
2011-08-01,103.6,105.1,104.6,99.3,102.3,102.1,103.1,104.8,99.6,102.9,102.4,106.5,103.2
2011-09-01,103.8,105.5,104.6,99.8,102.3,102.3,103.4,104.7,99.6,102.9,102.4,106.8,103.9
2011-10-01,104.0,106.3,104.6,99.7,102.3,102.3,103.6,104.8,99.5,103.0,102.5,107.1,103.5
2011-11-01,104.1,106.3,104.6,99.9,102.5,102.4,103.6,104.9,99.5,103.1,103.1,107.4,103.9
2011-12-01,104.2,106.6,104.6,99.6,102.5,102.5,103.6,104.9,99.4,103.1,103.2,107.5,103.9
2012-01-01,104.5,107.5,104.6,99.4,102.6,102.9,103.9,104.9,99.4,103.2,104.1,107.8,103.8
2012-02-01,104.5,106.7,104.6,99.8,103.0,103.3,104.1,104.9,99.4,103.4,104.5,108.1,104.2
2012-03-01,104.5,106.7,104.6,99.4,103.0,103.5,104.2,104.9,99.3,103.2,104.6,108.4,104.1
2012-04-01,104.5,106.4,104.6,99.5,103.0,103.6,104.4,105.2,99.2,103.2,104.8,108.6,103.9
2012-05-01,104.7,107.1,104.7,99.5,103.2,103.7,104.5,105.3,99.2,103.2,104.8,108.8,103.9
2012-06-01,104.8,107.7,104.7,99.2,103.2,103.8,104.6,105.0,99.1,103.2,104.7,109.0,104.1
2012-07-01,104.8,107.8,104.7,99.1,103.3,103.8,104.8,104.5,99.1,103.3,104.7,109.2,104.5
2012-08-01,105.0,108.0,104.8,98.7,103.8,104.0,104.9,104.8,99.0,103.2,104.7,109.2,104.4
2012-09-01,105.2,108.0,104.9,99.1,103.8,104.3,105.4,105.6,98.9,103.1,104.8,109.5,104.9
2012-10-01,105.4,108.4,104.9,99.0,103.8,104.2,105.5,105.6,98.8,103.1,104.8,109.7,105.0
2012-11-01,105.5,108.4,106.6,99.0,104.0,104.2,105.7,105.7,98.8,103.0,104.8,109.9,105.1
