State,Sex,Age Group,Year,Ethnic Group,Value ('000 Person)
W.P Kuala Lumpur,Total Sex,Total Age Group,1980,Total Ethnic Group,982.9
W.P Kuala Lumpur,Total Sex,Total Age Group,1980,Bumiputera,320.5
W.P Kuala Lumpur,Total Sex,Total Age Group,1980,Chinese,512
W.P Kuala Lumpur,Total Sex,Total Age Group,1980,Indians,140.8
W.P Kuala Lumpur,Total Sex,Total Age Group,1980,Others,9.6
W.P Kuala Lumpur,Total Sex,Total Age Group,1981,Total Ethnic Group,1006.1
W.P Kuala Lumpur,Total Sex,Total Age Group,1981,Bumiputera,337.3
W.P Kuala Lumpur,Total Sex,Total Age Group,1981,Chinese,517.6
W.P Kuala Lumpur,Total Sex,Total Age Group,1981,Indians,140.8
W.P Kuala Lumpur,Total Sex,Total Age Group,1981,Others,10.4
W.P Kuala Lumpur,Total Sex,Total Age Group,1982,Total Ethnic Group,1028.5
W.P Kuala Lumpur,Total Sex,Total Age Group,1982,Bumiputera,353.1
W.P Kuala Lumpur,Total Sex,Total Age Group,1982,Chinese,523.3
W.P Kuala Lumpur,Total Sex,Total Age Group,1982,Indians,140.9
W.P Kuala Lumpur,Total Sex,Total Age Group,1982,Others,11.1
W.P Kuala Lumpur,Total Sex,Total Age Group,1983,Total Ethnic Group,1050.7
W.P Kuala Lumpur,Total Sex,Total Age Group,1983,Bumiputera,369.5
W.P Kuala Lumpur,Total Sex,Total Age Group,1983,Chinese,528.5
W.P Kuala Lumpur,Total Sex,Total Age Group,1983,Indians,140.9
W.P Kuala Lumpur,Total Sex,Total Age Group,1983,Others,11.8
W.P Kuala Lumpur,Total Sex,Total Age Group,1984,Total Ethnic Group,1072.2
W.P Kuala Lumpur,Total Sex,Total Age Group,1984,Bumiputera,385.5
W.P Kuala Lumpur,Total Sex,Total Age Group,1984,Chinese,533.5
W.P Kuala Lumpur,Total Sex,Total Age Group,1984,Indians,140.9
W.P Kuala Lumpur,Total Sex,Total Age Group,1984,Others,12.4
W.P Kuala Lumpur,Total Sex,Total Age Group,1985,Total Ethnic Group,1095.9
W.P Kuala Lumpur,Total Sex,Total Age Group,1985,Bumiputera,402.8
