date,lf_size,employed,unemployed,outside,u_rate,p_rate,ep_ratio
1/1/1982,5431.4,5249,182.4,2944.6,3.4,64.8,62.67
1/1/1983,5671.8,5457,214.9,2969.4,3.8,65.6,63.15
1/1/1984,5862.5,5566.7,295.8,3119.6,5,65.3,61.98
1/1/1985,5990.1,5653.4,336.8,3124.9,5.6,65.7,62.02
1/1/1986,6222.1,5760.1,461.9,3188.3,7.4,66.1,61.21
1/1/1987,6456.8,5983.9,472.9,3246.1,7.3,66.5,61.67
1/1/1988,6637,6157.2,479.8,3301.5,7.2,66.8,61.95
1/1/1989,6779.4,6390.9,388.5,3463.5,5.7,66.2,62.39
1/1/1990,7000.2,6685,315.2,3519.7,4.5,66.5,63.55
1/1/1992,7319,7047.8,271.2,3783.6,3.7,65.9,63.48
1/1/1993,7700.1,7383.4,316.8,3874.9,4.1,66.5,63.79
1/1/1995,7893.1,7645,248.1,4297.7,3.1,64.7,62.71
1/1/1996,8616,8399.3,216.8,4379,2.5,66.3,64.63
1/1/1997,8784,8569.2,214.9,4605.1,2.4,65.6,64
1/1/1998,8883.6,8599.6,284,4934,3.2,64.3,62.24
1/1/1999,9151.5,8837.8,313.7,5098.4,3.4,64.2,62.02
1/1/2000,9556.139,9269.23,286.909,5065.063,3,65.4,63.4
1/1/2001,9699.406,9357.022,342.384,5239.911,3.5,64.9,62.63
1/1/2002,9886.164,9542.617,343.548,5473.756,3.5,64.4,62.13
1/1/2003,10239.577,9869.743,369.834,5458.587,3.6,65.2,62.87
1/1/2004,10346.2,9979.5,366.6,5730.5,3.5,64.4,62.07
1/1/2005,10413.4,10045.4,368.1,6048.2,3.5,63.3,61.02
1/1/2006,10628.9,10275.4,353.6,6205.1,3.3,63.1,61.04
1/1/2007,10889.5,10538.1,351.4,6330.1,3.2,63.2,61.2
1/1/2008,11028.1,10659.6,368.5,6575.7,3.3,62.6,60.55
1/1/2009,11315.3,10897.3,418,6665.7,3.7,62.9,60.6
1/1/2010,12303.9,11899.5,404.4,7023,3.3,63.7,61.57
1/1/2011,12740.7,12351.5,389.2,7023.3,3.1,64.5,62.49
1/1/2012,13221.7,12820.5,401.2,6927.4,3,65.6,63.63
1/1/2013,13980.5,13545.4,435.1,6781.2,3.1,67.3,65.24
1/1/2014,14263.6,13852.6,411.1,6821,2.9,67.6,65.7
1/1/2015,14518,14067.7,450.3,6869.9,3.1,67.9,65.77
1/1/2016,14667.8,14163.7,504.1,6987.6,3.4,67.7,65.4
1/1/2017,14980.1,14476.8,503.3,7065,3.361264224,67.95183587,65.67
1/1/2018,15280.3,14776,504.3,7094.4,3.3,68.3,66.04
1/1/2019,15581.6,15073.4,508.2,7103.5,3.3,68.7,66.4
1/1/2020,15667.7,14956.7,711,7225.5,4.5,68.4,65.3
1/1/2021,15797.2,15064.2,733,7221.4,4.6,68.6,65.4
1/1/2022,16568.7,15937.1,631.6,7265.8,3.8,69.5,66.9
1/1/2023,16836.34286,16249.3,587.0,7230.2,3.5,70.0,67.5
