project_name	location	url_link	tenure	median_psf	median_price	filed_transactions
BANDAR BARU SRI PETALING	SRI PETALING, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/sri-petaling/bandar-baru-sri-petaling/landed/?range=1909+May-	LEASEHOLD	201	332500.0	3952
TAMAN TUN DR ISMAIL	TAMAN TUN DR ISMAIL, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/taman-tun-dr-ismail/taman-tun-dr-ismail/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	334	820000.0	2849
TAMAN MELATI	SETAPAK, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/setapak/taman-melati/non-landed/?range=1909+May-	FREEHOLD	78	52500.0	2633
DAMANSARA HEIGHTS (BUKIT DAMANSARA)	DAMANSARA HEIGHTS, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/damansara-heights/damansara-heights--bukit-damansara-/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	409	2380000.0	2214
BANDAR BARU WANGSA MAJU	WANGSA MAJU, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/wangsa-maju/bandar-baru-wangsa-maju/non-landed/?range=1909+May-	LEASEHOLD	145	80000.0	1833
TAMAN BUKIT MALURI	KEPONG, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kepong/taman-bukit-maluri/landed/?range=1909+May-	LEASEHOLD	172	336000.0	1718
KEPONG BARU	KEPONG, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/kepong/kepong-baru/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	157	245500.0	1714
BANDAR TASIK SELATAN	BANDAR TASIK SELATAN, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/bandar-tasik-selatan/bandar-tasik-selatan/non-landed/?range=1909+May-	LEASEHOLD	148	125000.0	1596
DESA PANDAN	DESA PANDAN, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/desa-pandan/desa-pandan/non-landed/?range=1909+May-	LEASEHOLD	146	122000.0	1524
OVERSEAS UNION GARDEN	OLD KLANG ROAD, KUALA LUMPUR	https://www.brickz.my/transactions/residential/kuala-lumpur/old-klang-road/overseas-union-garden/landed/?range=1909+May-	FREEHOLD, LEASEHOLD	207	420000.0	1522
